District,State,Political outlook,Leadership and Title ,First Name,Last Name,Nickname,Party ,H.R.6408 (Vote Held),H.R.7921         (No Vote Held),H. R. 6090 (Vote Held),H.R.666              (No Vote Held),H.R. 4627             (No Vote Held),H.Res.786            (No Vote Held),H.Res.845 (Vote Held) ,H.R. 3985       (No Vote Held),H. Res. 989       (No Vote Held),H.R. 4639       (No Vote Held),H.R.6126 (Vote Held),H.R.635 (No Vote Held),H.Res.246 (No Vote Held),H.Res.76 (Vote Held),H.R.556 (No Vote Held),H. Res. 414 (No Vote Held) ,H.R. 1511 (No Vote Held),H.R.1325 (No Vote Held),H.R.8034 (Vote Held),,"Letter Condemning Hamas Attacks, Urging Protection of Innocent Civilian Lives",Lawmakers Seek Information from Big Banks on Account Closure Practices that Discriminate Against Muslim Americans,"Lawmakers Raise Concern over Accuracy, Due Process, Civil Rights Violations with Terrorism Watchlist",Discharge Petition No. 9: Motion to Discharge a Committee from the Consideration of a Resolution,,,Headshot URL
MI11,MI,Up for re-election in 2024,Rep. ,Haley,Stevens,,D,Y,(C),Y,,,,N,,,,Y,,,N,,,,,Y,,,,,Signed,Haley,Stevens,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Haley_Stevens%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Haley_Stevens%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
WA10,WA,Up for re-election in 2024,Rep. ,Marilyn,Strickland,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Marilyn,Strickland,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Marilyn_Strickland_117th_U.S_Congress_%28cropped%29.jpg/75px-Marilyn_Strickland_117th_U.S_Congress_%28cropped%29.jpg
AL05,AL,Up for re-election in 2024,Rep. ,Dale,Strong,,R,Not voting,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Dale,Strong,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Dale_Strong_official_House_portrait_%28cropped%29.jpg/75px-Dale_Strong_official_House_portrait_%28cropped%29.jpg
NY03,NY,Up for re-election in 2024,Rep. ,Thomas,Suozzi,Tom,D,Y,,Y,,,,,,,,,,,,,,,,Y,,,,,Signed,Thomas,Suozzi,
CA14,CA,Up for re-election in 2024,Rep. ,Eric,Swalwell,,D,Not voting,,Y,(C),(C),,N,,,,N,,(C),N,,,N,N,Y,,,,,Signed,Eric,Swalwell,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Eric_Swalwell_114th_official_photo_%28cropped_2%29.jpg/75px-Eric_Swalwell_114th_official_photo_%28cropped_2%29.jpg
OH13,OH,Up for re-election in 2024,Rep. ,Emilia,Sykes,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Emilia,Sykes,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Rep._Emilia_Sykes_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Emilia_Sykes_-_118th_Congress_%28cropped%29.jpg
CA39,CA,Up for re-election in 2024,Rep. ,Mark,Takano,,D,Y,,N,,,,N,,,,N,,,N,,,Y,,N,,Signed,,,Signed,Mark,Takano,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Mark_Takano_118th_Congress_%28cropped%29.jpeg/75px-Mark_Takano_118th_Congress_%28cropped%29.jpeg
NY24,NY,Up for re-election in 2024,Rep. ,Claudia,Tenney,,R,Y,(C),Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Claudia,Tenney,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Rep._Claudia_Tenney_official_portrait%2C_117th_Congress_%28cropped%29.jpg/75px-Rep._Claudia_Tenney_official_portrait%2C_117th_Congress_%28cropped%29.jpg
MI13,MI,Up for re-election in 2024,Rep. ,Shri,Thanedar,,D,Y,,Y,,,,N,,,,N,,,N,(C),(C),,,Y,,,,,Signed,Shri,Thanedar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Rep._Shri_Thanedar_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Shri_Thanedar_-_118th_Congress_%28cropped%29.jpg
PA15,PA,Up for re-election in 2024,Rep. ,Glenn,Thompson,G T,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Glenn,Thompson,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Glennthompson_%28cropped%29.jpg/75px-Glennthompson_%28cropped%29.jpg
CA04,CA,Up for re-election in 2024,Rep. ,Michael,Thompson,Mike,D,Y,,Y,,,,N,,,,N,,,N,,,Y,,Y,,,,,Signed,Michael,Thompson,
MS02,MS,Up for re-election in 2024,Rep. ,Bennie,Thompson,,D,Not voting,,N,,,,N,,,,N,,,N,,,,,N,,,,,Signed,Bennie,Thompson,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Bennie_Thompson_official_photo_%28cropped%29.jpg/75px-Bennie_Thompson_official_photo_%28cropped%29.jpg
WI07,WI,Up for re-election in 2024,Rep. ,Thomas,Tiffany,Tom,R,Y,,Y,,,,Y,,,,Y,,,Y,,,N,N,N,,,,,,Thomas,Tiffany,
SC04,SC,Up for re-election in 2024,Rep. ,William,Timmons,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,William,Timmons,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/William_Timmons%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-William_Timmons%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
NV01,NV,Up for re-election in 2024,Rep. ,Alice,Titus,Dina,D,Not voting,,Y,,(C),,N,,,,N,,,Y,,,,,Y,,,,,Signed,Alice,Titus,
MI12,MI,Up for re-election in 2024,Rep. ,Rashida,Tlaib,,D,N,,N,(C),,(C),N,(C),(C),,N,(C),(C),N,(C),(C),Y,,N,,,Signed,Signed,,Rashida,Tlaib,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Rashida_Tlaib%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Rashida_Tlaib%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
HI02,HI,Up for re-election in 2024,Rep. ,Jill,Tokuda,,D,Y,,N,(C),,,N,,,,N,,,N,,,Y,,N,,Signed,,,Signed,Jill,Tokuda,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Rep._Jill_Tokuda_official_photo%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Jill_Tokuda_official_photo%2C_118th_Congress_%28cropped%29.jpg
NY20,NY,Up for re-election in 2024,Rep. ,Paul,Tonko,,D,Y,,Y,,,,N,,(C),,N,,,N,,,,,Y,,Signed,,,Signed,Paul,Tonko,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Paul_Tonko%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Paul_Tonko%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
CA35,CA,Up for re-election in 2024,Rep. ,Norma,Torres,,D,Y,,Y,(C),,,N,,,,N,,,N,,,Y,,Y,,,,,Signed,Norma,Torres,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Norma_Torres_118th_congress_%28cropped%29.jpeg/75px-Norma_Torres_118th_congress_%28cropped%29.jpeg
NY15,NY,Up for re-election in 2024,Rep. ,Ritchie,Torres,,D,Y,(C),Y,,,,Y,,,,N,,,N,,,Y,,Y,,,,,Signed,Ritchie,Torres,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Ritchie_Torres_117th_U.S_Congress_%28cropped%29.jpg/75px-Ritchie_Torres_117th_U.S_Congress_%28cropped%29.jpg
MA03,MA,Up for re-election in 2024,Rep. ,Lori,Trahan,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Lori,Trahan,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Lori_Trahan%2C_official_portrait%2C_116th_Congress_%28cropped_2%29.jpg/75px-Lori_Trahan%2C_official_portrait%2C_116th_Congress_%28cropped_2%29.jpg
MD06,MD,Running for Senate in 2024,Rep. ,David,Trone,,D,Y,,Y,(C),,,N,(C),,,N,,,N,,,Y,Y,Y,,,,Signed,,David,Trone,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/David_Trone_official_photo_%28cropped%29.jpg/75px-David_Trone_official_photo_%28cropped%29.jpg
OH10,OH,Up for re-election in 2024,Rep. ,Michael,Turner,Mike,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Michael,Turner,
IL14,IL,Up for re-election in 2024,Rep. ,Lauren,Underwood,,D,Y,,N,,,,N,,,,N,,,N,,,,,Y,,Signed,,,Signed,Lauren,Underwood,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Lauren_Underwood_official_portrait_%28cropped%29.jpg/75px-Lauren_Underwood_official_portrait_%28cropped%29.jpg
CA22,CA,Up for re-election in 2024,Rep. ,David,Valadao,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,David,Valadao,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/David_Valadao_117th_U.S_Congress_%28cropped%29.jpg/75px-David_Valadao_117th_U.S_Congress_%28cropped%29.jpg
NJ02,NJ,Up for re-election in 2024,Rep. ,Jeff,Van Drew,,R,Y,(C),Y,,,,Y(C),,,,Y(C),,,Y,,,N,N,Y,,,,,,Jeff,Van Drew,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Congressman_Jeff_Van_Drew_%28cropped%29.jpg/75px-Congressman_Jeff_Van_Drew_%28cropped%29.jpg
TX24,TX,Up for re-election in 2024,Rep. ,Beth,Van Duyne,,R,Y,,Y,,,,Y(C),,,,Y(C),,,Y,,,,,Y,,,,,,Beth,Van Duyne,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Beth_Van_Duyne_%28cropped%29.jpg/75px-Beth_Van_Duyne_%28cropped%29.jpg
WI03,WI,Up for re-election in 2024,Rep. ,Derrick,Van Orden,,R,Y,,Y,,,,Y(C),,,,Y,,,Y,,,,,Y,,,,,,Derrick,Van Orden,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Congressman_dvo_%28cropped%29.jpg/75px-Congressman_dvo_%28cropped%29.jpg
CA52,CA,Up for re-election in 2024,Rep. ,Juan,Vargas,,D,Y,,Y,(C),,,N,,,,Y,,(C),N,,,Y,,Y,,,,,Signed,Juan,Vargas,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Juan_Vargas_official_photo_%28cropped%29.jpg/75px-Juan_Vargas_official_photo_%28cropped%29.jpg
NM02,NM,Up for re-election in 2024,Rep. ,Gabe,Vasquez,,D,Y,,Y,,,,N,,,,N,,,N,,,Y,,Y,,,,,Signed,Gabe,Vasquez,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Rep_Gabriel_Vasquez_Official_Portrait_%28cropped%29.jpg/75px-Rep_Gabriel_Vasquez_Official_Portrait_%28cropped%29.jpg
TX33,TX,Up for re-election in 2024,Rep. ,Marc,Veasey,,D,Y,(C),Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Marc,Veasey,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Marc_Veasey_official_photo_%28cropped%29.jpg/75px-Marc_Veasey_official_photo_%28cropped%29.jpg
NY07,NY,Up for re-election in 2024,Rep. ,Nydia,Velazquez,,D,Y,,N,,,(C),N,,(C),,N,,(C),N,,,Y,,N,,Signed,,,,Nydia,Velazquez,
MO02,MO,Up for re-election in 2024,Rep. ,Ann,Wagner,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Ann,Wagner,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Ann_Wagner_Headshot_%28002%29_%28cropped%29.jpg/75px-Ann_Wagner_Headshot_%28002%29_%28cropped%29.jpg
MI05,MI,Up for re-election in 2024,Rep. ,Timothy,Walberg,Tim,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Timothy,Walberg,
FL06,FL,Up for re-election in 2024,Rep. ,Michael,Waltz,Mike,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Michael,Waltz,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Michael_Waltz%2C_official_portrait%2C_116th_Congress_%28cropped%29_%28cropped%29.jpg/75px-Michael_Waltz%2C_official_portrait%2C_116th_Congress_%28cropped%29_%28cropped%29.jpg
FL25,FL,Up for re-election in 2024,Rep. ,Deborah,Wasserman Schultz,Debbie,D,Y,(C),Y,(C),,,Y,,,,Y(C),,,N,,,,,Y,,,,,Signed,Deborah,Wasserman Schultz,
CA43,CA,Up for re-election in 2024,Rep. ,Maxine,Waters,,D,Not voting,,N,,,,N,,,,N,,,N,,,,,N,,Signed,,,Signed,Maxine,Waters,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Congresswoman_Waters_official_photo_%28cropped%29.jpg/75px-Congresswoman_Waters_official_photo_%28cropped%29.jpg
NJ12,NJ,Up for re-election in 2024,Rep. ,Bonnie,Watson Coleman,,D,Y,,N,(C),,(C),N,(C),(C),,N,,(C),N,,,Y,N,N,,Signed,,,Signed,Bonnie,Watson Coleman,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Bonnie_Watson_Coleman_%28cropped_2%29.jpg/75px-Bonnie_Watson_Coleman_%28cropped_2%29.jpg
TX14,TX,Up for re-election in 2024,Rep. ,Randy,Weber,,R,Y,(C),Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Randy,Weber,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Randy_Weber_official_congressional_photo_%28cropped%29.jpg/75px-Randy_Weber_official_congressional_photo_%28cropped%29.jpg
FL11,FL,Up for re-election in 2024,Rep. ,Daniel,Webster,Dan,R,Y,,Y,,,,Not voting,,,,Y,,,Y,,,,,Y,,,,,,Daniel,Webster,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Daniel_Webster%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg/75px-Daniel_Webster%2C_Official_Portrait%2C_112th_Congress_%28cropped%29.jpg
OH02,OH,Retiring at the end of current term,Rep. ,Brad,Wenstrup,,R,Y,,Y,,(C),,Y,,,,Y,,,Y,,,,,Y,,,,,,Brad,Wenstrup,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Brad_Wenstrup_official_%28cropped%29.jpg/75px-Brad_Wenstrup_official_%28cropped%29.jpg
AR04,AR,Up for re-election in 2024,Rep. ,Bruce,Westerman,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Bruce,Westerman,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Bruce_Westerman_118th_Congress_%28cropped%29.jpeg/75px-Bruce_Westerman_118th_Congress_%28cropped%29.jpeg
VA10,VA,Retiring at end of current term,Rep. ,Jennifer,Wexton,,D,Not voting,,N,,(C),,N,,,,Not voting,,,N,,,,,Y,,,,,Signed,Jennifer,Wexton,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Jennifer_Wexton%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Jennifer_Wexton%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
PA07,PA,Up for re-election in 2024,Rep. ,Susan,Wild,,D,Y,(C),Y,,,,,,,,N,,,N,,,,,Y,,,,,Signed,Susan,Wild,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Susan_Wild%2C_Official_Portrait%2C_115th_Congress_%28cropped%29.jpg/75px-Susan_Wild%2C_Official_Portrait%2C_115th_Congress_%28cropped%29.jpg
TX25,TX,Up for re-election in 2024,Rep. ,Roger,Williams,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Roger,Williams,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Roger_Williams_official_congressional_photo_%28cropped%29.jpg/75px-Roger_Williams_official_congressional_photo_%28cropped%29.jpg
GA05,GA,Up for re-election in 2024,Rep. ,Nikema,Williams,,D,Y,,Y,(C),,,N,(C),(C),,N,,(C),N,(C),,Y,,Y,,Signed,,,Signed,Nikema,Williams,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Rep._Nikema_Williams_official_photo%2C_117th_Congress_%28cropped%29.jpg/75px-Rep._Nikema_Williams_official_photo%2C_117th_Congress_%28cropped%29.jpg
NY22,NY,Up for re-election in 2024,Rep. ,Brandon,Williams,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Not Voting,,,,,,Brandon,Williams,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Rep._Brandon_Williams_official_photo_%28cropped%29.jpg/70px-Rep._Brandon_Williams_official_photo_%28cropped%29.jpg
SC02,SC,Up for re-election in 2024,Rep. ,Addison,Wilson,Joe,R,Y,,Y,,,,Y(C),,,,Y(C),,,N,,,,,Y,,,,,,Addison,Wilson,
FL24,FL,Up for re-election in 2024,Rep. ,Frederica,Wilson,,D,Not voting,,Y,,,,Y,,,,Y,,,Y,,,Y,,Y,,,,,Signed,Frederica,Wilson,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Frederica_Wilson_official_House_portrait_%28cropped%29.jpg/75px-Frederica_Wilson_official_House_portrait_%28cropped%29.jpg
VA01,VA,Up for re-election in 2024,Rep. ,Rob,Wittman,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Rob,Wittman,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Rob_Wittman_official_portrait%2C_118th_Congress_%28tight_crop_2%29.jpg/75px-Rob_Wittman_official_portrait%2C_118th_Congress_%28tight_crop_2%29.jpg
AR03,AR,Up for re-election in 2024,Rep. ,Stephen,Womack,Steve,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Stephen,Womack,
IN02,IN,Up for re-election in 2024,Rep. ,Rudy,Yakym,,R,Y,(C),Y,,(C),,Y,,,,Y,,,Y,,,,,Y,,,,,,Rudy,Yakym,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Rep._Rudy_Yakym_official_photo%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Rudy_Yakym_official_photo%2C_118th_Congress_%28cropped%29.jpg
MT01,MT,Up for re-election in 2024,Rep. ,Ryan,Zinke,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,N,,,,,,Ryan,Zinke,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Rep._Ryan_Zinke_official_photo%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Ryan_Zinke_official_photo%2C_118th_Congress_%28cropped%29.jpg
